,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2018-05-01,27,19,中雨~小雨,西南风,1-2级,47,优
1,武汉,2018-05-02,27,16,多云,无持续风向,4-5级,81,良
2,武汉,2018-05-03,27,17,多云,东风,1-2级,71,良
3,武汉,2018-05-04,27,19,阴~小雨,东南风,3-4级,69,良
4,武汉,2018-05-05,27,18,大雨~暴雨,南风,3-4级,57,良
5,武汉,2018-05-06,25,17,大雨~阴,东风,3-4级,30,优
6,武汉,2018-05-07,24,15,多云~晴,东风,3-4级,32,优
7,武汉,2018-05-08,26,16,晴~多云,东北风,1-2级,43,优
8,武汉,2018-05-09,27,16,阴~多云,西北风,1-2级,75,良
9,武汉,2018-05-10,26,17,多云~小雨,东风,1-2级,67,良
10,武汉,2018-05-11,24,19,中雨,东北风,1-2级,93,良
11,武汉,2018-05-12,27,18,阴~多云,东北风,1-2级,59,良
12,武汉,2018-05-13,31,21,晴~多云,东风,3-4级,69,良
13,武汉,2018-05-14,33,24,多云,南风,4-5级,68,良
14,武汉,2018-05-15,33,25,阴~小雨,南风,5-6级,57,良
15,武汉,2018-05-16,33,25,小雨~多云,西南风,5-6级,56,良
16,武汉,2018-05-17,34,24,多云,西南风,4-5级,57,良
17,武汉,2018-05-18,30,24,中雨,南风,3-4级,50,优
18,武汉,2018-05-19,29,19,小雨,西风,1-2级,42,优
19,武汉,2018-05-20,26,21,小雨,东北风,3-4级,43,优
20,武汉,2018-05-21,27,17,雷阵雨~中雨,东南风,1-2级,36,优
21,武汉,2018-05-22,22,14,小雨~多云,东南风,4-5级,48,优
22,武汉,2018-05-23,23,18,多云,南风,1-2级,105,轻度污染
23,武汉,2018-05-24,30,23,多云,西北风,3-4级,73,良
24,武汉,2018-05-25,31,22,中雨~小雨,西北风,4-5级,68,良
25,武汉,2018-05-26,28,20,阴,无持续风向,3-4级,28,优
26,武汉,2018-05-27,29,19,多云,西北风,1-2级,139,轻度污染
27,武汉,2018-05-28,30,21,多云,西南风,1-2级,103,轻度污染
28,武汉,2018-05-29,28,20,多云~小雨,东南风,1-2级,116,轻度污染
29,武汉,2018-05-30,28,20,小雨~中雨,东南风,3-4级,77,良
30,武汉,2018-05-31,24,18,小雨~多云,西南风,1-2级,50,优
