,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2020-05-01,29,20,阴~晴,南风,2级,72,良
1,武汉,2020-05-02,32,21,晴,西南风,3级,66,良
2,武汉,2020-05-03,33,23,晴~多云,西南风,2级,54,良
3,武汉,2020-05-04,35,21,多云~中雨,东南风,2级,70,良
4,武汉,2020-05-05,23,19,阴~多云,东北风,4级,53,良
5,武汉,2020-05-06,24,20,阴~小雨,东南风,3级,52,良
6,武汉,2020-05-07,26,22,小雨~大雨,东南风,3级,50,优
7,武汉,2020-05-08,23,17,中雨~晴,北风,3级,36,优
8,武汉,2020-05-09,23,14,阴~晴,北风,3级,32,优
9,武汉,2020-05-10,25,13,晴,西北风,2级,37,优
10,武汉,2020-05-11,28,11,晴,西北风,3级,64,良
11,武汉,2020-05-12,29,14,晴~多云,西风,2级,62,良
12,武汉,2020-05-13,28,19,多云~中雨,东南风,2级,77,良
13,武汉,2020-05-14,20,17,暴雨~多云,南风,2级,77,良
14,武汉,2020-05-15,24,17,雾~多云,东南风,1级,79,良
15,武汉,2020-05-16,28,19,多云,西南风,1级,59,良
16,武汉,2020-05-17,29,20,阴~小雨,西南风,2级,61,良
17,武汉,2020-05-18,27,14,多云~晴,北风,3级,65,良
18,武汉,2020-05-19,30,18,多云~晴,东南风,3级,74,良
19,武汉,2020-05-20,26,20,小雨,东南风,3级,97,良
20,武汉,2020-05-21,24,19,阴~多云,东北风,2级,52,良
21,武汉,2020-05-22,31,19,阴~多云,东风,1级,64,良
22,武汉,2020-05-23,32,20,阴~晴,西南风,2级,86,良
23,武汉,2020-05-24,31,19,多云~阵雨,东北风,3级,89,良
24,武汉,2020-05-25,20,16,小雨,北风,3级,70,良
25,武汉,2020-05-26,27,20,多云~晴,西北风,2级,52,良
26,武汉,2020-05-27,32,20,阴~多云,西风,2级,75,良
27,武汉,2020-05-28,29,22,阴~小雨,西南风,2级,82,良
28,武汉,2020-05-29,24,18,小雨~多云,东南风,2级,61,良
29,武汉,2020-05-30,28,20,多云,西南风,2级,46,优
30,武汉,2020-05-31,29,21,阴~多云,东南风,2级,58,良
