,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2017-06-01,31,22,多云,无持续风向,微风,59,良
1,武汉,2017-06-02,32,23,多云,无持续风向,微风,81,良
2,武汉,2017-06-03,31,24,阵雨~多云,无持续风向,微风,96,良
3,武汉,2017-06-04,30,19,阵雨~中雨,无持续风向,微风,82,良
4,武汉,2017-06-05,23,17,大雨~小雨,无持续风向,3-4级,41,优
5,武汉,2017-06-06,27,18,多云,无持续风向,微风,33,优
6,武汉,2017-06-07,29,20,晴,无持续风向,微风,58,良
7,武汉,2017-06-08,31,23,多云~小雨,无持续风向,微风,66,良
8,武汉,2017-06-09,29,24,大雨,无持续风向,微风,47,优
9,武汉,2017-06-10,28,22,中雨~小雨,西风,3-4级,44,优
10,武汉,2017-06-11,27,22,阵雨~多云,东北风,1-2级,40,优
11,武汉,2017-06-12,27,23,小雨,东北风,1-2级,37,优
12,武汉,2017-06-13,26,21,小雨,无持续风向,微风,32,优
13,武汉,2017-06-14,27,21,多云,无持续风向,微风,53,良
14,武汉,2017-06-15,25,19,阵雨~多云,无持续风向,微风,60,良
15,武汉,2017-06-16,28,20,多云,无持续风向,微风,62,良
16,武汉,2017-06-17,30,22,多云,无持续风向,微风,71,良
17,武汉,2017-06-18,29,21,阴~多云,无持续风向,微风,64,良
18,武汉,2017-06-19,30,22,多云,无持续风向,微风,65,良
19,武汉,2017-06-20,32,22,多云,无持续风向,微风,77,良
20,武汉,2017-06-21,32,23,多云,无持续风向,微风,67,良
21,武汉,2017-06-22,32,22,多云~中雨,南风,1-2级,54,良
22,武汉,2017-06-23,27,23,大雨,东南风,1-2级,48,优
23,武汉,2017-06-24,31,23,小雨,西北风,1-2级,55,良
24,武汉,2017-06-25,28,23,阵雨~多云,无持续风向,微风,64,良
25,武汉,2017-06-26,31,22,阵雨~多云,无持续风向,微风,53,良
26,武汉,2017-06-27,31,23,多云,无持续风向,微风,46,优
27,武汉,2017-06-28,30,23,阵雨~多云,无持续风向,微风,54,良
28,武汉,2017-06-29,30,23,多云~中雨,无持续风向,微风,56,良
29,武汉,2017-06-30,27,23,暴雨~大雨,无持续风向,微风,23,优
