,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2018-02-01,7,-1,多云,无持续风向,微风,106,轻度污染
1,武汉,2018-02-02,6,-6,多云,西北风,1-2级,91,良
2,武汉,2018-02-03,7,-4,多云,无持续风向,微风,67,良
3,武汉,2018-02-04,7,-4,多云~晴,东北风,1-2级,60,良
4,武汉,2018-02-05,8,-4,晴,东北风,1-2级,79,良
5,武汉,2018-02-06,10,-3,晴~多云,无持续风向,微风,95,良
6,武汉,2018-02-07,10,-3,多云,北风,1-2级,118,轻度污染
7,武汉,2018-02-08,10,3,多云,南风,1-2级,121,轻度污染
8,武汉,2018-02-09,11,4,多云~小雨,南风,1-2级,127,轻度污染
9,武汉,2018-02-10,10,-2,多云,西北风,1-2级,172,中度污染
10,武汉,2018-02-11,10,-3,晴,无持续风向,3-4级,156,中度污染
11,武汉,2018-02-12,12,-1,晴,无持续风向,4-5级,82,良
12,武汉,2018-02-13,15,4,晴~多云,东北风,1-2级,91,良
13,武汉,2018-02-14,18,5,多云~阴,东北风,1-2级,115,轻度污染
14,武汉,2018-02-15,11,4,小雨,东北风,1-2级,121,轻度污染
15,武汉,2018-02-16,14,5,多云~晴,西风,1-2级,130,轻度污染
16,武汉,2018-02-17,16,6,多云~小雨,东南风,1-2级,111,轻度污染
17,武汉,2018-02-18,10,4,小雨,无持续风向,微风,120,轻度污染
18,武汉,2018-02-19,7,5,小雨,无持续风向,微风,65,良
19,武汉,2018-02-20,6,3,中雨~多云,无持续风向,微风,29,优
20,武汉,2018-02-21,8,3,小雨~多云,无持续风向,微风,85,良
21,武汉,2018-02-22,12,2,多云~晴,东北风,1-2级,115,轻度污染
22,武汉,2018-02-23,15,6,小雨,南风,1-2级,84,良
23,武汉,2018-02-24,14,3,小雨~多云,东北风,1-2级,73,良
24,武汉,2018-02-25,15,4,多云~晴,东风,1-2级,111,轻度污染
25,武汉,2018-02-26,17,7,多云~小雨,东风,1-2级,105,轻度污染
26,武汉,2018-02-27,12,7,中雨~小雨,东风,1-2级,49,优
27,武汉,2018-02-28,18,7,多云,东北风,1-2级,50,优
