,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2019-12-01,10,0,多云,西北风,3级,73,良
1,武汉,2019-12-02,10,-1,晴~多云,东北风,2级,80,良
2,武汉,2019-12-03,13,0,晴~多云,东北风,1级,81,良
3,武汉,2019-12-04,15,1,晴~多云,东北风,2级,88,良
4,武汉,2019-12-05,14,2,多云,东北风,3级,59,良
5,武汉,2019-12-06,12,0,晴,东北风,2级,140,轻度污染
6,武汉,2019-12-07,14,1,晴,东南风,1级,86,良
7,武汉,2019-12-08,16,2,晴~多云,西南风,2级,87,良
8,武汉,2019-12-09,16,2,多云,西南风,2级,77,良
9,武汉,2019-12-10,16,2,多云,西南风,1级,103,轻度污染
10,武汉,2019-12-11,17,3,晴~多云,东北风,2级,96,良
11,武汉,2019-12-12,17,2,多云~晴,东南风,3级,82,良
12,武汉,2019-12-13,18,4,晴~多云,东南风,1级,132,轻度污染
13,武汉,2019-12-14,17,6,多云~晴,东北风,2级,161,中度污染
14,武汉,2019-12-15,16,9,多云,东北风,2级,115,轻度污染
15,武汉,2019-12-16,13,8,小雨,西北风,2级,69,良
16,武汉,2019-12-17,10,2,小雨,东北风,3级,61,良
17,武汉,2019-12-18,8,1,小雨,东北风,4级,76,良
18,武汉,2019-12-19,7,1,多云,东北风,2级,42,优
19,武汉,2019-12-20,9,4,多云~小雨,东南风,2级,63,良
20,武汉,2019-12-21,8,2,小雨~多云,东北风,1级,60,良
21,武汉,2019-12-22,12,4,多云,西南风,2级,56,良
22,武汉,2019-12-23,9,5,小雨~多云,东北风,2级,56,良
23,武汉,2019-12-24,12,7,阴~小雨,东北风,2级,85,良
24,武汉,2019-12-25,9,4,小雨,东北风,3级,51,良
25,武汉,2019-12-26,9,-1,晴,西北风,3级,76,良
26,武汉,2019-12-27,12,0,雾~多云,东南风,1级,89,良
27,武汉,2019-12-28,8,4,阴~小雨,东南风,2级,97,良
28,武汉,2019-12-29,11,3,雾~多云,东南风,1级,67,良
29,武汉,2019-12-30,11,-1,多云,东北风,3级,102,轻度污染
30,武汉,2019-12-31,5,1,多云,东北风,3级,94,良
