,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2018-06-01,27,18,多云,东南风,1-2级,73,良
1,武汉,2018-06-02,25,17,多云,东风,1-2级,55,良
2,武汉,2018-06-03,28,20,多云,南风,1-2级,72,良
3,武汉,2018-06-04,28,19,阴~多云,西风,1-2级,73,良
4,武汉,2018-06-05,29,20,阴~多云,西风,1-2级,78,良
5,武汉,2018-06-06,30,20,多云,无持续风向,微风,85,良
6,武汉,2018-06-07,32,23,多云~小雨,南风,1-2级,70,良
7,武汉,2018-06-08,30,22,中雨,东风,1-2级,43,优
8,武汉,2018-06-09,29,20,多云,无持续风向,3-4级,48,优
9,武汉,2018-06-10,29,19,多云~晴,无持续风向,微风,61,良
10,武汉,2018-06-11,32,21,多云~阴,东风,1-2级,69,良
11,武汉,2018-06-12,32,20,多云,南风,1-2级,80,良
12,武汉,2018-06-13,32,21,多云,东北风,1-2级,57,良
13,武汉,2018-06-14,33,23,多云,东南风,1-2级,63,良
14,武汉,2018-06-15,34,22,多云,东风,3-4级,84,良
15,武汉,2018-06-16,33,23,多云~阴,东风,3-4级,97,良
16,武汉,2018-06-17,33,24,多云,西南风,3-4级,92,良
17,武汉,2018-06-18,32,25,多云~大雨,东南风,3-4级,82,良
18,武汉,2018-06-19,29,22,中雨~小雨,西南风,3-4级,58,良
19,武汉,2018-06-20,31,22,阴,无持续风向,3-4级,35,优
20,武汉,2018-06-21,29,24,阴~小雨,东风,1-2级,60,良
21,武汉,2018-06-22,27,23,小雨,东风,3-4级,43,优
22,武汉,2018-06-23,31,24,多云~小雨,东风,1-2级,49,优
23,武汉,2018-06-24,32,26,雷阵雨~多云,南风,3-4级,51,良
24,武汉,2018-06-25,35,27,多云,南风,4-5级,39,优
25,武汉,2018-06-26,35,27,多云,西南风,4-5级,40,优
26,武汉,2018-06-27,35,28,多云,西南风,4-5级,43,优
27,武汉,2018-06-28,35,28,小雨,西南风,4-5级,43,优
28,武汉,2018-06-29,32,25,小雨~中雨,东南风,1-2级,52,良
29,武汉,2018-06-30,29,24,中雨~小雨,东南风,1-2级,42,优
