,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2021-03-01,9,1,小雨~晴,北风,4级,17,优
1,武汉,2021-03-02,13,6,阴~多云,东北风,2级,38,优
2,武汉,2021-03-03,12,6,阴~多云,东南风,2级,58,良
3,武汉,2021-03-04,18,10,雾~小雨,东南风,2级,56,良
4,武汉,2021-03-05,12,8,中雨~小雨,东风,2级,44,优
5,武汉,2021-03-06,11,5,小雨~多云,东北风,微风,34,优
6,武汉,2021-03-07,9,6,阴~多云,东北风,3级,68,良
7,武汉,2021-03-08,9,4,小雨~阴,东北风,2级,93,良
8,武汉,2021-03-09,12,7,多云,北风,2级,54,良
9,武汉,2021-03-10,14,10,小雨,东北风,2级,44,优
10,武汉,2021-03-11,14,6,小雨~多云,西北风,微风,35,优
11,武汉,2021-03-12,16,8,雾~多云,东风,2级,45,优
12,武汉,2021-03-13,19,9,雾~多云,东风,2级,51,良
13,武汉,2021-03-14,22,13,雾~小雨,东南风,2级,58,良
14,武汉,2021-03-15,17,14,大雨~小雨,东南风,2级,61,良
15,武汉,2021-03-16,18,13,阴~小雨,东北风,3级,58,良
16,武汉,2021-03-17,16,11,阴~小雨,东北风,2级,105,轻度污染
17,武汉,2021-03-18,11,8,小雨,东北风,3级,42,优
18,武汉,2021-03-19,9,6,小雨,北风,3级,30,优
19,武汉,2021-03-20,14,9,小雨~晴,北风,3级,72,良
20,武汉,2021-03-21,16,3,阴~晴,东北风,3级,114,轻度污染
21,武汉,2021-03-22,18,5,阴~多云,东北风,2级,73,良
22,武汉,2021-03-23,17,6,阴~多云,西南风,2级,81,良
23,武汉,2021-03-24,23,8,晴,东南风,2级,68,良
24,武汉,2021-03-25,25,13,晴,东南风,3级,76,良
25,武汉,2021-03-26,19,13,中雨~小雨,东风,微风,67,良
26,武汉,2021-03-27,21,11,多云~晴,西风,2级,41,优
27,武汉,2021-03-28,24,14,晴,南风,2级,54,良
28,武汉,2021-03-29,25,16,阴~小雨,东北风,3级,73,良
29,武汉,2021-03-30,19,15,中雨,东北风,微风,107,轻度污染
30,武汉,2021-03-31,15,12,小雨,东北风,3级,43,优
