,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2020-06-01,32,22,晴~阴,东南风,2级,72,良
1,武汉,2020-06-02,30,23,阴~中雨,西南风,2级,64,良
2,武汉,2020-06-03,31,23,多云,西风,2级,43,优
3,武汉,2020-06-04,31,23,多云~晴,西南风,2级,42,优
4,武汉,2020-06-05,32,23,阴~多云,南风,2级,43,优
5,武汉,2020-06-06,31,23,多云,东南风,3级,39,优
6,武汉,2020-06-07,31,24,阴~晴,东南风,3级,41,优
7,武汉,2020-06-08,33,25,多云,东南风,3级,47,优
8,武汉,2020-06-09,30,24,小雨~阵雨,东北风,3级,39,优
9,武汉,2020-06-10,28,23,小雨~晴,北风,2级,43,优
10,武汉,2020-06-11,30,25,多云~小雨,西南风,2级,35,优
11,武汉,2020-06-12,33,24,阴~暴雨,西南风,3级,36,优
12,武汉,2020-06-13,27,24,小雨~中雨,西北风,2级,27,优
13,武汉,2020-06-14,27,24,中雨~阵雨,东北风,1级,21,优
14,武汉,2020-06-15,33,26,阴~中雨,西南风,2级,37,优
15,武汉,2020-06-16,33,27,小雨~晴,西南风,3级,31,优
16,武汉,2020-06-17,33,21,阴~大雨,西南风,3级,31,优
17,武汉,2020-06-18,24,20,小雨,西北风,2级,25,优
18,武汉,2020-06-19,27,21,阴~小雨,东风,2级,33,优
19,武汉,2020-06-20,22,22,中雨~大雨,东风,2级,29,优
20,武汉,2020-06-21,23,23,小雨~暴雨,东北风,3级,18,优
21,武汉,2020-06-22,23,22,中雨~大雨,北风,2级,20,优
22,武汉,2020-06-23,25,22,小雨~晴,西北风,2级,22,优
23,武汉,2020-06-24,30,22,阴~晴,南风,2级,39,优
24,武汉,2020-06-25,32,24,多云,东南风,2级,67,良
25,武汉,2020-06-26,32,25,阴~晴,东南风,2级,35,优
26,武汉,2020-06-27,31,26,阴~中雨,东南风,2级,27,优
27,武汉,2020-06-28,27,23,暴雨~小雨,西南风,3级,28,优
28,武汉,2020-06-29,28,22,大雨~晴,西风,2级,24,优
29,武汉,2020-06-30,33,25,晴~多云,西南风,1级,40,优
