,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2017-09-01,26,21,阴~多云,无持续风向,微风,38,优
1,武汉,2017-09-02,25,21,小雨,无持续风向,微风,43,优
2,武汉,2017-09-03,24,20,小雨~阴,无持续风向,微风,23,优
3,武汉,2017-09-04,27,21,多云~晴,无持续风向,微风,35,优
4,武汉,2017-09-05,28,21,多云~阵雨,无持续风向,微风,50,优
5,武汉,2017-09-06,25,20,小雨~多云,无持续风向,微风,33,优
6,武汉,2017-09-07,29,21,晴,无持续风向,微风,52,良
7,武汉,2017-09-08,31,23,多云,无持续风向,微风,83,良
8,武汉,2017-09-09,30,22,小雨,无持续风向,微风,84,良
9,武汉,2017-09-10,27,20,小雨,无持续风向,微风,50,优
10,武汉,2017-09-11,28,19,晴,无持续风向,微风,38,优
11,武汉,2017-09-12,30,20,晴,无持续风向,微风,58,良
12,武汉,2017-09-13,30,20,晴,无持续风向,微风,70,良
13,武汉,2017-09-14,29,18,晴,无持续风向,微风,72,良
14,武汉,2017-09-15,30,18,晴,无持续风向,微风,71,良
15,武汉,2017-09-16,30,19,多云,无持续风向,微风,75,良
16,武汉,2017-09-17,29,20,晴,无持续风向,微风,79,良
17,武汉,2017-09-18,28,21,多云~小雨,无持续风向,微风,102,轻度污染
18,武汉,2017-09-19,24,18,大雨~中雨,无持续风向,微风,76,良
19,武汉,2017-09-20,24,18,小雨~多云,无持续风向,微风,43,优
20,武汉,2017-09-21,25,20,阵雨~多云,无持续风向,微风,59,良
21,武汉,2017-09-22,28,20,多云~小雨,无持续风向,微风,73,良
22,武汉,2017-09-23,27,22,小雨,东风,1-2级,54,良
23,武汉,2017-09-24,29,22,阵雨,东南风,1-2级,55,良
24,武汉,2017-09-25,31,23,阵雨~多云,无持续风向,微风,65,良
25,武汉,2017-09-26,30,23,多云~小雨,无持续风向,微风,56,良
26,武汉,2017-09-27,26,20,中雨,无持续风向,微风,27,优
27,武汉,2017-09-28,24,19,多云,无持续风向,微风,33,优
28,武汉,2017-09-29,23,19,多云,无持续风向,微风,39,优
29,武汉,2017-09-30,27,21,多云,无持续风向,微风,51,良
