,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2021-05-01,31,19,晴,东南风,2级,69,良
1,武汉,2021-05-02,30,19,阴,东南风,3级,78,良
2,武汉,2021-05-03,26,15,中雨,东风,3级,63,良
3,武汉,2021-05-04,25,13,多云,北风,3级,50,优
4,武汉,2021-05-05,28,17,多云~阴,东南风,2级,92,良
5,武汉,2021-05-06,23,16,阴~多云,西南风,2级,83,良
6,武汉,2021-05-07,27,16,阴~多云,西北风,2级,67,良
7,武汉,2021-05-08,30,18,阴~晴,西南风,2级,77,良
8,武汉,2021-05-09,32,20,晴~多云,东南风,2级,59,良
9,武汉,2021-05-10,31,22,暴雨~大雨,东南风,3级,50,优
10,武汉,2021-05-11,20,19,小雨~阴,东北风,3级,38,优
11,武汉,2021-05-12,24,21,阴~多云,东风,1级,63,良
12,武汉,2021-05-13,27,21,中雨~大雨,东南风,2级,54,良
13,武汉,2021-05-14,29,21,中雨,东南风,2级,43,优
14,武汉,2021-05-15,27,18,暴雨~大雨,西南风,3级,37,优
15,武汉,2021-05-16,20,14,阴~多云,北风,4级,22,优
16,武汉,2021-05-17,24,15,多云,北风,2级,28,优
17,武汉,2021-05-18,21,15,阴~小雨,西南风,微风,55,良
18,武汉,2021-05-19,20,16,小雨,东北风,1级,62,良
19,武汉,2021-05-20,24,18,阴,西南风,2级,49,优
20,武汉,2021-05-21,25,19,阴,西南风,2级,70,良
21,武汉,2021-05-22,25,20,小雨,东南风,2级,55,良
22,武汉,2021-05-23,22,16,小雨~多云,西北风,3级,42,优
23,武汉,2021-05-24,27,18,多云~阴,西北风,微风,55,良
24,武汉,2021-05-25,29,20,阴~中雨,西南风,2级,79,良
25,武汉,2021-05-26,20,16,暴雨~多云,西北风,2级,44,优
26,武汉,2021-05-27,27,19,多云,西南风,2级,31,优
27,武汉,2021-05-28,26,19,阴~多云,西南风,2级,38,优
28,武汉,2021-05-29,27,19,阴~多云,西南风,2级,43,优
29,武汉,2021-05-30,30,20,晴,西南风,2级,48,优
30,武汉,2021-05-31,32,22,晴,东南风,2级,62,良
