,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2021-01-01,8,-5,晴,西南风,1级,64,良
1,武汉,2021-01-02,10,-1,多云,东风,2级,88,良
2,武汉,2021-01-03,8,-2,多云~晴,东北风,2级,99,良
3,武汉,2021-01-04,9,1,雾~多云,北风,2级,161,中度污染
4,武汉,2021-01-05,6,1,阴~多云,北风,3级,223,重度污染
5,武汉,2021-01-06,3,-3,阴~多云,东北风,3级,119,轻度污染
6,武汉,2021-01-07,1,-7,阴~晴,东北风,4级,65,良
7,武汉,2021-01-08,3,-7,晴~多云,西北风,2级,50,优
8,武汉,2021-01-09,6,-4,多云,西风,1级,65,良
9,武汉,2021-01-10,7,-4,多云,东北风,2级,61,良
10,武汉,2021-01-11,8,-4,阴~晴,西北风,3级,68,良
11,武汉,2021-01-12,12,-1,晴,西南风,3级,80,良
12,武汉,2021-01-13,16,-1,晴,南风,2级,77,良
13,武汉,2021-01-14,20,2,晴,东南风,2级,98,良
14,武汉,2021-01-15,17,2,晴~多云,东北风,微风,122,轻度污染
15,武汉,2021-01-16,10,0,阴~晴,东北风,微风,121,轻度污染
16,武汉,2021-01-17,9,-3,阴~晴,西北风,3级,75,良
17,武汉,2021-01-18,14,-1,晴,南风,2级,71,良
18,武汉,2021-01-19,15,1,晴~多云,东南风,3级,76,良
19,武汉,2021-01-20,9,7,小雨,东南风,2级,82,良
20,武汉,2021-01-21,8,6,小雨,北风,1级,115,轻度污染
21,武汉,2021-01-22,9,3,雾~多云,北风,2级,114,轻度污染
22,武汉,2021-01-23,9,3,雾~多云,东北风,2级,145,轻度污染
23,武汉,2021-01-24,10,5,晴~小雨,东风,3级,54,良
24,武汉,2021-01-25,6,1,小雨~多云,北风,3级,100,良
25,武汉,2021-01-26,9,3,雾~阴,西北风,2级,171,中度污染
26,武汉,2021-01-27,7,1,小雨~多云,东北风,2级,139,轻度污染
27,武汉,2021-01-28,12,-2,雾~晴,北风,3级,109,轻度污染
28,武汉,2021-01-29,14,4,雾~阴,东南风,2级,111,轻度污染
29,武汉,2021-01-30,12,5,阴,东南风,微风,90,良
30,武汉,2021-01-31,8,4,小雨,南风,1级,99,良
