,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2020-04-01,16,9,雾~阴,东南风,2级,39,优
1,武汉,2020-04-02,17,9,阴,东北风,2级,57,良
2,武汉,2020-04-03,16,9,小雨~多云,东北风,2级,95,良
3,武汉,2020-04-04,20,11,多云,东北风,2级,57,良
4,武汉,2020-04-05,20,9,晴~小雨,东南风,3级,64,良
5,武汉,2020-04-06,20,9,晴,东南风,2级,57,良
6,武汉,2020-04-07,24,10,多云~晴,东南风,1级,60,良
7,武汉,2020-04-08,24,10,阴~晴,东南风,2级,58,良
8,武汉,2020-04-09,26,13,晴,东南风,2级,66,良
9,武汉,2020-04-10,17,9,小雨,东北风,4级,69,良
10,武汉,2020-04-11,11,5,阴~晴,东北风,4级,42,优
11,武汉,2020-04-12,21,6,晴,西北风,3级,51,良
12,武汉,2020-04-13,23,11,晴~多云,西南风,2级,45,优
13,武汉,2020-04-14,23,10,阴~晴,西南风,3级,48,优
14,武汉,2020-04-15,26,15,晴,东南风,2级,48,优
15,武汉,2020-04-16,29,16,晴~多云,西南风,3级,60,良
16,武汉,2020-04-17,25,16,阴~阵雨,东北风,3级,70,良
17,武汉,2020-04-18,15,11,中雨,东北风,3级,57,良
18,武汉,2020-04-19,20,11,阴~多云,西北风,3级,39,优
19,武汉,2020-04-20,15,11,中雨~晴,东北风,2级,53,良
20,武汉,2020-04-21,16,11,阴~晴,东北风,2级,47,优
21,武汉,2020-04-22,22,13,多云,东北风,2级,58,良
22,武汉,2020-04-23,22,9,阴~多云,东北风,2级,64,良
23,武汉,2020-04-24,24,11,晴~多云,西南风,3级,52,良
24,武汉,2020-04-25,26,13,多云,西南风,3级,51,良
25,武汉,2020-04-26,28,14,晴,西南风,3级,51,良
26,武汉,2020-04-27,27,10,晴,北风,3级,60,良
27,武汉,2020-04-28,25,14,晴,东南风,2级,54,良
28,武汉,2020-04-29,32,20,晴,南风,3级,77,良
29,武汉,2020-04-30,29,19,小雨,西南风,3级,83,良
