,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2020-11-01,19,13,小雨~晴,西北风,2级,44,优
1,武汉,2020-11-02,23,12,晴,北风,3级,71,良
2,武汉,2020-11-03,20,12,多云,东北风,2级,60,良
3,武汉,2020-11-04,20,11,多云,东南风,2级,56,良
4,武汉,2020-11-05,21,13,多云,东南风,2级,61,良
5,武汉,2020-11-06,23,10,多云,西北风,2级,64,良
6,武汉,2020-11-07,24,9,雾~晴,西北风,2级,82,良
7,武汉,2020-11-08,24,7,晴,东北风,3级,70,良
8,武汉,2020-11-09,22,8,晴,东北风,2级,76,良
9,武汉,2020-11-10,22,8,晴,东南风,2级,89,良
10,武汉,2020-11-11,23,8,晴,东南风,2级,63,良
11,武汉,2020-11-12,23,7,雾~晴,东风,2级,64,良
12,武汉,2020-11-13,23,8,晴,东北风,2级,72,良
13,武汉,2020-11-14,22,8,晴,东风,2级,55,良
14,武汉,2020-11-15,23,9,雾~晴,东风,2级,68,良
15,武汉,2020-11-16,22,13,阴~阵雨,东风,2级,73,良
16,武汉,2020-11-17,22,18,阴~小雨,东南风,3级,60,良
17,武汉,2020-11-18,23,12,阴~小雨,南风,3级,40,优
18,武汉,2020-11-19,15,10,小雨~晴,东北风,2级,31,优
19,武汉,2020-11-20,16,10,阴~小雨,东北风,3级,52,良
20,武汉,2020-11-21,9,5,小雨,东北风,3级,21,优
21,武汉,2020-11-22,8,5,小雨,东北风,4级,27,优
22,武汉,2020-11-23,6,4,小雨,东北风,3级,27,优
23,武汉,2020-11-24,5,4,中雨~小雨,东北风,2级,20,优
24,武汉,2020-11-25,6,3,大雨~阴,北风,2级,21,优
25,武汉,2020-11-26,8,5,小雨~多云,北风,2级,37,优
26,武汉,2020-11-27,9,5,阴,北风,3级,81,良
27,武汉,2020-11-28,7,2,小雨~多云,东北风,2级,94,良
28,武汉,2020-11-29,11,2,阴~晴,东北风,1级,72,良
29,武汉,2020-11-30,12,2,雾~多云,东北风,2级,72,良
