,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2021-11-01,23,15,多云~小雨,东风,1级,75,良
1,武汉,2021-11-02,23,13,多云~晴,东北风,1级,93,良
2,武汉,2021-11-03,23,14,多云~小雨,东风,1级,78,良
3,武汉,2021-11-04,20,16,多云~小雨,东南风,2级,74,良
4,武汉,2021-11-05,19,17,小雨~多云,东北风,2级,59,良
5,武汉,2021-11-06,22,8,多云~小雨,东北风,3级,41,优
6,武汉,2021-11-07,8,2,多云~晴,北风,5级,21,优
7,武汉,2021-11-08,13,3,晴,西北风,2级,30,优
8,武汉,2021-11-09,15,4,多云~晴,西风,2级,40,优
9,武汉,2021-11-10,19,5,晴~多云,西北风,3级,48,优
10,武汉,2021-11-11,18,6,雾~多云,北风,2级,55,良
11,武汉,2021-11-12,18,5,多云~晴,西北风,2级,49,优
12,武汉,2021-11-13,20,6,雾~晴,西南风,2级,55,良
13,武汉,2021-11-14,21,8,雾~晴,南风,2级,56,良
14,武汉,2021-11-15,21,11,雾~晴,东风,2级,66,良
15,武汉,2021-11-16,23,13,多云~晴,东北风,2级,86,良
16,武汉,2021-11-17,18,6,多云,西北风,2级,167,中度污染
17,武汉,2021-11-18,20,7,多云~晴,南风,2级,145,轻度污染
18,武汉,2021-11-19,21,11,多云~晴,东南风,2级,108,轻度污染
19,武汉,2021-11-20,17,10,多云~小雨,东北风,3级,74,良
20,武汉,2021-11-21,14,4,多云~阴,北风,4级,78,良
21,武汉,2021-11-22,11,2,多云,北风,3级,61,良
22,武汉,2021-11-23,15,2,多云~晴,西南风,2级,59,良
23,武汉,2021-11-24,18,4,晴,西南风,2级,62,良
24,武汉,2021-11-25,20,4,雾~晴,西南风,1级,88,良
25,武汉,2021-11-26,20,3,多云~晴,东北风,2级,110,轻度污染
26,武汉,2021-11-27,18,4,多云~晴,东北风,2级,96,良
27,武汉,2021-11-28,18,5,多云~晴,东北风,2级,103,轻度污染
28,武汉,2021-11-29,18,4,多云,北风,3级,88,良
29,武汉,2021-11-30,15,0,多云~晴,北风,3级,33,优
