,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2019-02-01,8,4,多云,东南风,2级,105,轻度污染
1,武汉,2019-02-02,10,7,小雨,东南风,2级,78,良
2,武汉,2019-02-03,10,2,小雨~多云,东北风,3级,95,良
3,武汉,2019-02-04,12,1,多云,东北风,2级,148,轻度污染
4,武汉,2019-02-05,12,3,多云,东南风,2级,148,轻度污染
5,武汉,2019-02-06,15,4,阴~小雨,东北风,3级,92,良
6,武汉,2019-02-07,12,1,小雨,东北风,4级,146,轻度污染
7,武汉,2019-02-08,5,0,小雨,东北风,3级,28,优
8,武汉,2019-02-09,2,0,小雨~雨夹雪,东北风,3级,46,优
9,武汉,2019-02-10,2,-2,雨夹雪~阴,东北风,2级,73,良
10,武汉,2019-02-11,5,1,阴~小雨,东南风,2级,97,良
11,武汉,2019-02-12,4,0,小雨,东北风,2级,60,良
12,武汉,2019-02-13,4,1,小雨,东北风,2级,81,良
13,武汉,2019-02-14,6,2,小雨,西北风,2级,43,优
14,武汉,2019-02-15,4,1,小雨,西北风,2级,59,良
15,武汉,2019-02-16,3,0,小雨,东北风,2级,87,良
16,武汉,2019-02-17,3,0,小雨~中雨,东北风,2级,102,轻度污染
17,武汉,2019-02-18,3,-1,小雨,东北风,2级,67,良
18,武汉,2019-02-19,3,0,小雨~多云,西北风,1级,86,良
19,武汉,2019-02-20,5,3,小雨,东北风,2级,123,轻度污染
20,武汉,2019-02-21,5,1,小雨,北风,2级,109,轻度污染
21,武汉,2019-02-22,8,3,阴,东北风,2级,63,良
22,武汉,2019-02-23,8,1,阴~多云,东北风,2级,73,良
23,武汉,2019-02-24,11,2,多云,东南风,1级,83,良
24,武汉,2019-02-25,13,3,多云,东南风,1级,98,良
25,武汉,2019-02-26,10,5,小雨~中雨,东北风,2级,156,中度污染
26,武汉,2019-02-27,9,3,小雨~多云,西北风,2级,61,良
27,武汉,2019-02-28,11,7,多云~小雨,东北风,2级,51,良
