,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2018-03-01,17,8,小雨,东北风,1-2级,77,良
1,武汉,2018-03-02,15,10,小雨,东北风,1-2级,77,良
2,武汉,2018-03-03,21,11,阴~中雨,无持续风向,微风,87,良
3,武汉,2018-03-04,17,6,中雨~小雨,无持续风向,4-5级,57,良
4,武汉,2018-03-05,11,7,阴,东北风,3-4级,37,优
5,武汉,2018-03-06,10,5,小雨,无持续风向,微风,47,优
6,武汉,2018-03-07,8,0,小雨~多云,无持续风向,3-4级,40,优
7,武汉,2018-03-08,14,1,多云~晴,无持续风向,微风,60,良
8,武汉,2018-03-09,15,4,晴,东南风,1-2级,78,良
9,武汉,2018-03-10,18,8,多云,南风,1-2级,82,良
10,武汉,2018-03-11,19,8,多云,东南风,1-2级,80,良
11,武汉,2018-03-12,22,11,多云,西风,1-2级,85,良
12,武汉,2018-03-13,23,13,多云~中雨,西风,1-2级,97,良
13,武汉,2018-03-14,22,12,中雨~小雨,东南风,1-2级,76,良
14,武汉,2018-03-15,23,8,小雨,无持续风向,3-4级,66,良
15,武汉,2018-03-16,17,8,阴,东北风,3-4级,53,良
16,武汉,2018-03-17,16,8,中雨,东风,1-2级,58,良
17,武汉,2018-03-18,11,8,小雨,无持续风向,微风,34,优
18,武汉,2018-03-19,9,6,小雨,无持续风向,3-4级,65,良
19,武汉,2018-03-20,10,2,阴,西南风,3-4级,60,良
20,武汉,2018-03-21,13,4,晴,南风,1-2级,66,良
21,武汉,2018-03-22,14,5,晴,西风,1-2级,91,良
22,武汉,2018-03-23,23,9,多云,东南风,1-2级,99,良
23,武汉,2018-03-24,18,11,小雨,西风,1-2级,88,良
24,武汉,2018-03-25,20,10,阴~多云,东南风,1-2级,72,良
25,武汉,2018-03-26,23,11,多云~晴,西南风,1-2级,73,良
26,武汉,2018-03-27,25,12,晴~多云,西南风,1-2级,74,良
27,武汉,2018-03-28,27,15,多云,南风,1-2级,87,良
28,武汉,2018-03-29,25,13,多云,东北风,1-2级,97,良
29,武汉,2018-03-30,27,14,多云,东风,1-2级,119,轻度污染
30,武汉,2018-03-31,27,15,多云,东风,1-2级,115,轻度污染
