,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2020-02-01,14,6,阴~晴,东南风,2级,83,良
1,武汉,2020-02-02,12,4,多云~晴,东北风,2级,84,良
2,武汉,2020-02-03,14,1,雾~晴,东北风,2级,97,良
3,武汉,2020-02-04,16,2,雾~晴,东南风,1级,92,良
4,武汉,2020-02-05,15,5,晴~小雨,东南风,2级,128,轻度污染
5,武汉,2020-02-06,6,3,中雨~阴,东北风,3级,55,良
6,武汉,2020-02-07,5,1,阴~多云,西北风,2级,20,优
7,武汉,2020-02-08,9,1,多云,东北风,2级,28,优
8,武汉,2020-02-09,14,2,雾~多云,西南风,1级,43,优
9,武汉,2020-02-10,11,5,小雨,东南风,2级,54,良
10,武汉,2020-02-11,11,5,阴~多云,东南风,2级,38,优
11,武汉,2020-02-12,14,6,阴~多云,东南风,1级,38,优
12,武汉,2020-02-13,18,12,阴~小雨,东南风,2级,37,优
13,武汉,2020-02-14,16,4,小雨,东北风,3级,42,优
14,武汉,2020-02-15,4,-2,雨夹雪~多云,西北风,5级,30,优
15,武汉,2020-02-16,8,-2,雨夹雪~晴,西北风,2级,22,优
16,武汉,2020-02-17,12,-1,多云,西北风,2级,27,优
17,武汉,2020-02-18,13,4,多云,东南风,2级,36,优
18,武汉,2020-02-19,15,2,多云~晴,东南风,2级,41,优
19,武汉,2020-02-20,18,7,晴~小雨,东南风,2级,57,良
20,武汉,2020-02-21,15,3,阴~多云,西北风,2级,67,良
21,武汉,2020-02-22,17,7,雾~多云,东南风,2级,58,良
22,武汉,2020-02-23,20,11,多云,东南风,2级,59,良
23,武汉,2020-02-24,24,15,多云~晴,西南风,3级,56,良
24,武汉,2020-02-25,22,11,阴~中雨,东北风,3级,66,良
25,武汉,2020-02-26,14,9,小雨,东北风,3级,56,良
26,武汉,2020-02-27,11,7,阴~小雨,东北风,2级,41,优
27,武汉,2020-02-28,6,5,小雨,西北风,2级,16,优
28,武汉,2020-02-29,13,5,雾~晴,西北风,1级,22,优
