,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2018-01-01,11,6,多云,东南风,1-2级,130,轻度污染
1,武汉,2018-01-02,8,2,小雨,无持续风向,微风,158,中度污染
2,武汉,2018-01-03,6,-1,中雨,东北风,3-4级,129,轻度污染
3,武汉,2018-01-04,3,-3,中雪~小雪,无持续风向,微风,48,优
4,武汉,2018-01-05,0,-1,阴~雨夹雪,无持续风向,微风,105,轻度污染
5,武汉,2018-01-06,1,-2,小雨~雨夹雪,东北风,1-2级,99,良
6,武汉,2018-01-07,1,-3,雨夹雪~小雪,无持续风向,微风,161,中度污染
7,武汉,2018-01-08,2,-5,多云,西北风,3-4级,109,轻度污染
8,武汉,2018-01-09,6,-5,多云,西风,1-2级,73,良
9,武汉,2018-01-10,9,-6,晴,西北风,1-2级,83,良
10,武汉,2018-01-11,10,-6,晴,东北风,1-2级,76,良
11,武汉,2018-01-12,10,-3,多云,东风,1-2级,103,轻度污染
12,武汉,2018-01-13,10,1,多云,东南风,1-2级,93,良
13,武汉,2018-01-14,12,2,多云,南风,1-2级,100,良
14,武汉,2018-01-15,14,5,多云~小雨,东风,1-2级,125,轻度污染
15,武汉,2018-01-16,10,3,小雨~多云,南风,1-2级,165,中度污染
16,武汉,2018-01-17,11,3,多云,南风,1-2级,147,轻度污染
17,武汉,2018-01-18,11,5,多云~小雨,东北风,1-2级,188,中度污染
18,武汉,2018-01-19,10,5,阴,南风,1-2级,211,重度污染
19,武汉,2018-01-20,9,4,阴~小雨,无持续风向,微风,223,重度污染
20,武汉,2018-01-21,8,0,小雨~多云,无持续风向,微风,171,中度污染
21,武汉,2018-01-22,10,0,多云,东风,1-2级,114,轻度污染
22,武汉,2018-01-23,9,0,多云~小雨,东北风,1-2级,156,中度污染
23,武汉,2018-01-24,3,-1,小雨~冻雨,东北风,1-2级,74,良
24,武汉,2018-01-25,0,-3,大雪~中雪,无持续风向,微风,49,优
25,武汉,2018-01-26,0,-4,小雪~大雪,东北风,1-2级,56,良
26,武汉,2018-01-27,-2,-4,大雪~中雪,无持续风向,微风,70,良
27,武汉,2018-01-28,0,-7,小雪~阴,无持续风向,微风,79,良
28,武汉,2018-01-29,2,-7,多云,无持续风向,微风,105,轻度污染
29,武汉,2018-01-30,4,-6,多云,西风,1-2级,102,轻度污染
30,武汉,2018-01-31,6,-7,晴,西北风,1-2级,91,良
