,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2020-08-01,36,27,多云,东南风,2级,44,优
1,武汉,2020-08-02,36,27,多云~晴,东南风,2级,40,优
2,武汉,2020-08-03,34,27,阴~晴,东南风,2级,39,优
3,武汉,2020-08-04,37,27,阴~多云,东南风,2级,65,良
4,武汉,2020-08-05,37,27,多云~晴,东南风,2级,58,良
5,武汉,2020-08-06,34,29,多云,南风,3级,24,优
6,武汉,2020-08-07,34,29,阴~阵雨,西南风,4级,29,优
7,武汉,2020-08-08,34,26,阴~大雨,西南风,3级,33,优
8,武汉,2020-08-09,34,25,阴~阵雨,西南风,3级,29,优
9,武汉,2020-08-10,32,25,小雨~阵雨,南风,2级,25,优
10,武汉,2020-08-11,33,26,小雨~阵雨,东南风,2级,39,优
11,武汉,2020-08-12,33,27,小雨~晴,东南风,3级,36,优
12,武汉,2020-08-13,34,27,晴~多云,南风,3级,26,优
13,武汉,2020-08-14,34,28,阴~晴,西南风,3级,24,优
14,武汉,2020-08-15,35,28,多云~晴,南风,3级,29,优
15,武汉,2020-08-16,36,28,晴,东南风,3级,34,优
16,武汉,2020-08-17,35,27,晴,东南风,2级,41,优
17,武汉,2020-08-18,37,26,阴~晴,东南风,2级,52,良
18,武汉,2020-08-19,35,26,阴~晴,东南风,2级,52,良
19,武汉,2020-08-20,34,24,大雨~阵雨,东北风,3级,34,优
20,武汉,2020-08-21,31,24,阴~小雨,东北风,3级,25,优
21,武汉,2020-08-22,33,25,阴~阵雨,东北风,2级,47,优
22,武汉,2020-08-23,34,27,晴,东南风,2级,45,优
23,武汉,2020-08-24,35,25,晴~小雨,西南风,3级,42,优
24,武汉,2020-08-25,30,21,阴~晴,西北风,3级,33,优
25,武汉,2020-08-26,34,21,晴,西北风,3级,40,优
26,武汉,2020-08-27,34,21,晴,东北风,2级,55,良
27,武汉,2020-08-28,34,22,晴,东北风,2级,59,良
28,武汉,2020-08-29,34,22,晴,东北风,2级,52,良
29,武汉,2020-08-30,34,23,晴,东风,2级,58,良
30,武汉,2020-08-31,34,23,晴,北风,2级,60,良
