,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2019-04-01,21,11,多云~小雨,东南风,2级,72,良
1,武汉,2019-04-02,15,10,中雨~阴,东北风,3级,57,良
2,武汉,2019-04-03,21,10,阴~多云,东北风,2级,49,优
3,武汉,2019-04-04,19,8,多云~晴,西南风,2级,73,良
4,武汉,2019-04-05,24,12,多云~晴,西南风,3级,52,良
5,武汉,2019-04-06,27,15,多云~晴,西南风,3级,64,良
6,武汉,2019-04-07,29,17,晴~多云,西南风,2级,78,良
7,武汉,2019-04-08,32,13,多云~大雨,东南风,3级,72,良
8,武汉,2019-04-09,24,7,中雨~多云,东北风,4级,42,优
9,武汉,2019-04-10,14,9,小雨,东北风,3级,39,优
10,武汉,2019-04-11,19,9,多云~晴,西北风,2级,54,良
11,武汉,2019-04-12,22,12,晴~多云,东南风,3级,52,良
12,武汉,2019-04-13,23,13,多云,东南风,2级,66,良
13,武汉,2019-04-14,21,11,小雨~多云,东北风,3级,66,良
14,武汉,2019-04-15,23,12,多云~小雨,东南风,2级,61,良
15,武汉,2019-04-16,26,13,多云~晴,西南风,3级,49,优
16,武汉,2019-04-17,29,15,晴~多云,东南风,2级,61,良
17,武汉,2019-04-18,30,19,小雨~中雨,东南风,3级,71,良
18,武汉,2019-04-19,27,18,小雨,东北风,3级,68,良
19,武汉,2019-04-20,28,18,多云~小雨,东北风,2级,79,良
20,武汉,2019-04-21,24,17,小雨,东北风,3级,56,良
21,武汉,2019-04-22,22,17,中雨~小雨,东北风,2级,80,良
22,武汉,2019-04-23,27,19,阴~多云,西南风,1级,60,良
23,武汉,2019-04-24,28,18,多云,东北风,1级,83,良
24,武汉,2019-04-25,30,17,多云,东北风,3级,84,良
25,武汉,2019-04-26,24,15,阴~多云,东北风,3级,53,良
26,武汉,2019-04-27,20,12,小雨,东北风,3级,49,优
27,武汉,2019-04-28,19,14,小雨~大雨,东北风,3级,38,优
28,武汉,2019-04-29,17,11,多云,西北风,2级,20,优
29,武汉,2019-04-30,23,14,多云,西北风,2级,57,良
