,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2021-06-01,34,23,多云~晴,东风,2级,58,良
1,武汉,2021-06-02,32,24,晴~小雨,西南风,2级,67,良
2,武汉,2021-06-03,25,16,中雨~多云,北风,3级,43,优
3,武汉,2021-06-04,27,18,多云~晴,西南风,2级,38,优
4,武汉,2021-06-05,31,19,晴,西南风,3级,52,良
5,武汉,2021-06-06,34,20,晴~多云,东南风,2级,69,良
6,武汉,2021-06-07,34,23,阴~晴,东南风,2级,54,良
7,武汉,2021-06-08,35,24,阴~晴,东南风,2级,69,良
8,武汉,2021-06-09,35,24,阴~阵雨,东北风,2级,69,良
9,武汉,2021-06-10,28,23,阴~多云,西北风,2级,59,良
10,武汉,2021-06-11,30,24,阴~晴,南风,2级,67,良
11,武汉,2021-06-12,30,25,阴~阵雨,东南风,2级,67,良
12,武汉,2021-06-13,34,26,阴~小雨,东南风,2级,35,优
13,武汉,2021-06-14,35,28,阴~多云,西南风,3级,28,优
14,武汉,2021-06-15,35,28,阴~多云,西南风,3级,25,优
15,武汉,2021-06-16,35,27,阴~小雨,西南风,2级,33,优
16,武汉,2021-06-17,28,23,阴~小雨,北风,3级,30,优
17,武汉,2021-06-18,25,21,阴~中雨,北风,3级,29,优
18,武汉,2021-06-19,22,19,中雨~阵雨,西北风,1级,24,优
19,武汉,2021-06-20,28,22,多云~阴,西北风,1级,40,优
20,武汉,2021-06-21,28,22,多云,东南风,1级,53,良
21,武汉,2021-06-22,33,22,晴~多云,东南风,1级,64,良
22,武汉,2021-06-23,34,22,多云,东南风,2级,64,良
23,武汉,2021-06-24,33,24,多云,东南风,3级,61,良
24,武汉,2021-06-25,35,26,阴~多云,东南风,2级,54,良
25,武汉,2021-06-26,34,25,阴~暴雨,南风,2级,53,良
26,武汉,2021-06-27,29,25,大雨~阵雨,东风,1级,28,优
27,武汉,2021-06-28,34,24,多云,东北风,2级,31,优
28,武汉,2021-06-29,35,26,多云,东南风,2级,58,良
29,武汉,2021-06-30,32,26,阴~小雨,南风,2级,42,优
