,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2017-02-01,6,2,小雨,无持续风向,微风,81,良
1,武汉,2017-02-02,4,3,小雨,无持续风向,微风,88,良
2,武汉,2017-02-03,6,3,小雨,无持续风向,微风,88,良
3,武汉,2017-02-04,11,2,多云~晴,无持续风向,微风,63,良
4,武汉,2017-02-05,13,2,晴~多云,无持续风向,微风,78,良
5,武汉,2017-02-06,12,4,多云~阴,无持续风向,微风,114,轻度污染
6,武汉,2017-02-07,8,0,小雨,无持续风向,3-4级,82,良
7,武汉,2017-02-08,4,-3,雨夹雪~晴,无持续风向,3-4级,61,良
8,武汉,2017-02-09,8,-3,多云~晴,无持续风向,微风,112,轻度污染
9,武汉,2017-02-10,10,-2,阴~多云,无持续风向,微风,89,良
10,武汉,2017-02-11,11,-2,多云~晴,无持续风向,微风,67,良
11,武汉,2017-02-12,14,0,晴,无持续风向,微风,97,良
12,武汉,2017-02-13,16,2,晴~多云,东南风,1-2级,98,良
13,武汉,2017-02-14,16,5,多云,东南风,1-2级,80,良
14,武汉,2017-02-15,18,9,多云~小雨,南风,1-2级,116,轻度污染
15,武汉,2017-02-16,21,9,多云,无持续风向,微风,121,轻度污染
16,武汉,2017-02-17,16,6,多云~小雨,无持续风向,微风,210,重度污染
17,武汉,2017-02-18,15,9,晴~多云,无持续风向,微风,127,轻度污染
18,武汉,2017-02-19,21,9,多云~阵雨,无持续风向,微风,181,中度污染
19,武汉,2017-02-20,15,5,多云~阴,无持续风向,3-4级,141,轻度污染
20,武汉,2017-02-21,6,0,中雨,北风,4-5级,48,优
21,武汉,2017-02-22,6,2,小雨~阴,无持续风向,3-4级,82,良
22,武汉,2017-02-23,9,1,多云,无持续风向,微风,86,良
23,武汉,2017-02-24,12,2,多云,无持续风向,微风,79,良
24,武汉,2017-02-25,14,3,多云,无持续风向,微风,88,良
25,武汉,2017-02-26,17,2,多云,无持续风向,微风,96,良
26,武汉,2017-02-27,18,5,多云,无持续风向,微风,104,轻度污染
27,武汉,2017-02-28,18,6,多云,东南风,1-2级,100,良
