,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2019-05-01,25,13,多云,东北风,3级,64,良
1,武汉,2019-05-02,25,13,多云~晴,东南风,2级,59,良
2,武汉,2019-05-03,27,17,多云,东南风,2级,85,良
3,武汉,2019-05-04,28,17,多云,东南风,2级,79,良
4,武汉,2019-05-05,26,18,阴~小雨,东南风,2级,72,良
5,武汉,2019-05-06,22,14,阴,东北风,3级,57,良
6,武汉,2019-05-07,19,12,小雨~多云,东北风,2级,53,良
7,武汉,2019-05-08,22,12,多云,西南风,2级,58,良
8,武汉,2019-05-09,25,15,多云,西南风,2级,60,良
9,武汉,2019-05-10,28,15,多云,西南风,2级,72,良
10,武汉,2019-05-11,29,17,多云,东南风,2级,89,良
11,武汉,2019-05-12,28,18,小雨~多云,东南风,2级,95,良
12,武汉,2019-05-13,26,16,多云,东北风,2级,116,轻度污染
13,武汉,2019-05-14,25,20,中雨~大雨,东北风,2级,116,轻度污染
14,武汉,2019-05-15,23,18,小雨~多云,西北风,1级,44,优
15,武汉,2019-05-16,27,20,小雨,西南风,1级,60,良
16,武汉,2019-05-17,27,19,多云,西北风,1级,57,良
17,武汉,2019-05-18,29,21,小雨~大雨,东南风,2级,67,良
18,武汉,2019-05-19,26,17,小雨~阴,东北风,3级,42,优
19,武汉,2019-05-20,25,14,多云,东北风,3级,78,良
20,武汉,2019-05-21,24,14,多云,西南风,1级,77,良
21,武汉,2019-05-22,28,15,多云,西南风,2级,92,良
22,武汉,2019-05-23,30,18,晴~多云,东南风,2级,94,良
23,武汉,2019-05-24,31,22,小雨~中雨,东南风,3级,75,良
24,武汉,2019-05-25,27,22,大雨,东南风,3级,54,良
25,武汉,2019-05-26,26,21,中雨~多云,西南风,2级,29,优
26,武汉,2019-05-27,28,18,晴~多云,东北风,4级,61,良
27,武汉,2019-05-28,26,17,多云,东北风,3级,48,优
28,武汉,2019-05-29,25,18,多云~小雨,东北风,2级,45,优
29,武汉,2019-05-30,24,18,阴~小雨,西南风,2级,42,优
30,武汉,2019-05-31,27,19,多云~阴,东南风,2级,67,良
