,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2021-09-01,34,24,多云,东北风,3级,51,良
1,武汉,2021-09-02,30,24,多云,北风,2级,38,优
2,武汉,2021-09-03,33,26,小雨~晴,东南风,2级,41,优
3,武汉,2021-09-04,35,25,多云~阵雨,东南风,2级,46,优
4,武汉,2021-09-05,32,22,多云~晴,东北风,3级,30,优
5,武汉,2021-09-06,28,22,多云~晴,北风,3级,26,优
6,武汉,2021-09-07,27,20,多云,北风,3级,33,优
7,武汉,2021-09-08,31,22,多云~晴,西北风,1级,45,优
8,武汉,2021-09-09,33,22,晴,西南风,1级,57,良
9,武汉,2021-09-10,34,22,雾~晴,东南风,1级,80,良
10,武汉,2021-09-11,35,23,多云~晴,东北风,2级,68,良
11,武汉,2021-09-12,35,21,晴,东北风,3级,52,良
12,武汉,2021-09-13,33,22,多云~晴,东北风,3级,38,优
13,武汉,2021-09-14,32,21,晴,东北风,3级,38,优
14,武汉,2021-09-15,33,20,多云~晴,东风,2级,51,良
15,武汉,2021-09-16,33,21,晴,东北风,2级,70,良
16,武汉,2021-09-17,32,22,多云~晴,东风,2级,67,良
17,武汉,2021-09-18,33,28,晴~多云,东南风,3级,65,良
18,武汉,2021-09-19,34,19,多云~中雨,南风,3级,49,优
19,武汉,2021-09-20,27,19,小雨~晴,西风,3级,22,优
20,武汉,2021-09-21,31,21,晴,西南风,2级,34,优
21,武汉,2021-09-22,34,22,晴,东南风,2级,46,优
22,武汉,2021-09-23,34,24,晴~多云,东南风,3级,53,良
23,武汉,2021-09-24,35,25,多云~晴,东南风,2级,44,优
24,武汉,2021-09-25,35,26,多云~晴,东南风,2级,38,优
25,武汉,2021-09-26,36,23,多云~晴,东风,2级,47,优
26,武汉,2021-09-27,29,23,多云,东北风,3级,37,优
27,武汉,2021-09-28,33,20,多云~中雨,东北风,3级,50,优
28,武汉,2021-09-29,27,18,晴,北风,2级,25,优
29,武汉,2021-09-30,29,19,晴,南风,1级,39,优
