,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2017-12-01,10,4,多云,东北风,1-2级,74,良
1,武汉,2017-12-02,12,5,多云,无持续风向,微风,90,良
2,武汉,2017-12-03,14,4,多云,无持续风向,微风,109,轻度污染
3,武汉,2017-12-04,12,1,晴,无持续风向,微风,207,重度污染
4,武汉,2017-12-05,12,1,晴,无持续风向,微风,202,重度污染
5,武汉,2017-12-06,13,5,晴,东南风,1-2级,173,中度污染
6,武汉,2017-12-07,12,0,阴~晴,无持续风向,微风,140,轻度污染
7,武汉,2017-12-08,8,0,多云,东北风,1-2级,118,轻度污染
8,武汉,2017-12-09,12,1,晴,无持续风向,微风,95,良
9,武汉,2017-12-10,12,-1,晴,无持续风向,微风,114,轻度污染
10,武汉,2017-12-11,12,1,晴~多云,无持续风向,微风,93,良
11,武汉,2017-12-12,12,3,晴~多云,无持续风向,微风,91,良
12,武汉,2017-12-13,8,4,小雨,无持续风向,微风,100,良
13,武汉,2017-12-14,6,3,阴~小雨,无持续风向,3-4级,64,良
14,武汉,2017-12-15,7,1,多云~晴,无持续风向,微风,76,良
15,武汉,2017-12-16,7,-5,晴,无持续风向,微风,122,轻度污染
16,武汉,2017-12-17,8,-4,晴,无持续风向,微风,93,良
17,武汉,2017-12-18,10,-3,晴,无持续风向,微风,104,轻度污染
18,武汉,2017-12-19,11,-3,晴,无持续风向,微风,115,轻度污染
19,武汉,2017-12-20,13,-3,晴,无持续风向,微风,113,轻度污染
20,武汉,2017-12-21,15,-1,晴,无持续风向,微风,133,轻度污染
21,武汉,2017-12-22,17,2,晴,无持续风向,微风,114,轻度污染
22,武汉,2017-12-23,13,1,多云,无持续风向,微风,159,中度污染
23,武汉,2017-12-24,12,-2,多云~晴,无持续风向,3-4级,179,中度污染
24,武汉,2017-12-25,13,0,晴,无持续风向,微风,93,良
25,武汉,2017-12-26,14,1,多云,无持续风向,微风,115,轻度污染
26,武汉,2017-12-27,13,4,多云~阴,无持续风向,微风,142,轻度污染
27,武汉,2017-12-28,10,3,小雨~多云,无持续风向,微风,169,中度污染
28,武汉,2017-12-29,14,4,多云,无持续风向,微风,171,中度污染
29,武汉,2017-12-30,12,-1,晴,无持续风向,3-4级,187,中度污染
30,武汉,2017-12-31,13,1,晴,东南风,1-2级,171,中度污染
