,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2020-03-01,13,8,多云,东北风,3级,38,优
1,武汉,2020-03-02,10,5,小雨~阴,东北风,3级,38,优
2,武汉,2020-03-03,9,5,小雨~多云,西北风,2级,29,优
3,武汉,2020-03-04,15,5,多云~晴,东北风,1级,42,优
4,武汉,2020-03-05,16,8,晴~多云,东南风,2级,67,良
5,武汉,2020-03-06,13,7,阴~多云,东南风,2级,52,良
6,武汉,2020-03-07,19,11,阴~小雨,东南风,2级,45,优
7,武汉,2020-03-08,18,11,小雨,东南风,3级,37,优
8,武汉,2020-03-09,14,5,阴~晴,西北风,4级,57,良
9,武汉,2020-03-10,17,4,多云~晴,西北风,2级,47,优
10,武汉,2020-03-11,19,9,多云~阵雨,东南风,2级,61,良
11,武汉,2020-03-12,16,9,小雨~晴,东南风,2级,64,良
12,武汉,2020-03-13,17,5,阴~晴,东北风,3级,69,良
13,武汉,2020-03-14,19,5,雾~晴,西北风,2级,67,良
14,武汉,2020-03-15,22,11,多云,西南风,2级,68,良
15,武汉,2020-03-16,19,11,阴,东南风,2级,67,良
16,武汉,2020-03-17,23,8,多云~晴,西南风,2级,69,良
17,武汉,2020-03-18,24,9,晴~多云,西南风,2级,72,良
18,武汉,2020-03-19,24,10,雾~晴,东北风,2级,57,良
19,武汉,2020-03-20,27,13,晴,东南风,2级,71,良
20,武汉,2020-03-21,23,16,阴~小雨,东南风,2级,69,良
21,武汉,2020-03-22,22,14,阴~小雨,东北风,3级,79,良
22,武汉,2020-03-23,24,13,阴~多云,东北风,2级,63,良
23,武汉,2020-03-24,22,17,阴~中雨,东南风,2级,53,良
24,武汉,2020-03-25,21,17,小雨~中雨,东南风,3级,41,优
25,武汉,2020-03-26,25,8,小雨,东北风,3级,34,优
26,武汉,2020-03-27,10,4,中雨,东北风,5级,21,优
27,武汉,2020-03-28,11,6,阴~小雨,东北风,3级,23,优
28,武汉,2020-03-29,8,5,中雨~多云,东南风,2级,27,优
29,武汉,2020-03-30,11,8,阴~多云,东北风,2级,24,优
30,武汉,2020-03-31,11,6,阴~多云,西北风,2级,34,优
