,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2019-06-01,29,19,多云~晴,东南风,2级,67,良
1,武汉,2019-06-02,32,21,多云~晴,西南风,2级,53,良
2,武汉,2019-06-03,32,21,晴,西南风,2级,62,良
3,武汉,2019-06-04,33,25,多云~阴,东南风,3级,66,良
4,武汉,2019-06-05,33,24,小雨~暴雨,东南风,3级,58,良
5,武汉,2019-06-06,31,22,小雨,西北风,3级,34,优
6,武汉,2019-06-07,31,24,晴~多云,东南风,2级,55,良
7,武汉,2019-06-08,30,23,小雨~多云,东南风,2级,52,良
8,武汉,2019-06-09,32,23,多云~晴,西南风,1级,64,良
9,武汉,2019-06-10,33,20,晴~多云,东北风,2级,71,良
10,武汉,2019-06-11,32,23,多云~阴,东南风,3级,63,良
11,武汉,2019-06-12,31,22,阴~多云,东南风,2级,48,优
12,武汉,2019-06-13,30,18,多云~晴,西北风,2级,47,优
13,武汉,2019-06-14,31,19,多云,东南风,2级,69,良
14,武汉,2019-06-15,31,23,阴,东南风,3级,77,良
15,武汉,2019-06-16,27,21,小雨~大雨,东南风,2级,50,优
16,武汉,2019-06-17,25,20,大雨,东南风,3级,29,优
17,武汉,2019-06-18,26,21,小雨,东南风,1级,28,优
18,武汉,2019-06-19,31,24,小雨~中雨,东南风,2级,36,优
19,武汉,2019-06-20,31,22,中雨~大雨,东南风,3级,40,优
20,武汉,2019-06-21,28,23,中雨,东北风,3级,20,优
21,武汉,2019-06-22,27,19,小雨~多云,东北风,2级,30,优
22,武汉,2019-06-23,30,19,多云,东北风,2级,47,优
23,武汉,2019-06-24,30,20,多云,东南风,2级,70,良
24,武汉,2019-06-25,31,20,多云~晴,东南风,2级,70,良
25,武汉,2019-06-26,32,23,晴~多云,东南风,1级,79,良
26,武汉,2019-06-27,33,26,多云~小雨,东南风,2级,73,良
27,武汉,2019-06-28,33,24,中雨~暴雨,东南风,3级,57,良
28,武汉,2019-06-29,28,22,小雨~多云,西北风,2级,31,优
29,武汉,2019-06-30,33,24,多云,西北风,2级,42,优
